,Close,MACD,MACD_Signal,Difference,Action,Prediction
2023-02-16,153.71,3.9878524766678822,3.580923729472283,0.40692874719559935,0,0
2023-02-17,152.55,3.792120613936703,3.623163106365167,0.16895750757153616,0,0
2023-02-21,148.48,3.290315079957537,3.5565935010836407,-0.26627842112610356,0,0
2023-03-06,153.83,1.2661369532500828,1.6542414969257921,-0.38810454367570935,-1,0
2023-03-07,151.6,1.3325483544055032,1.5899028684217344,-0.2573545140162312,-1,0
2023-03-08,152.87,1.4650231495768935,1.5649269246527662,-0.09990377507587267,0,0
2023-03-09,150.59,1.3816999468476467,1.5282815290917422,-0.14658158224409545,0,0
2023-03-10,148.5,1.1438929542997585,1.4514038141333454,-0.30751085983358695,0,0
2023-03-13,150.47,1.0917984106730785,1.379482733441292,-0.28768432276821354,1,0
2023-03-14,152.59,1.1975563436265304,1.3430974554783397,-0.1455411118518093,1,0
2023-03-15,152.99,1.2972360095454007,1.333925166291752,-0.036689156746351204,0,0
2023-03-16,155.85,1.575515241766709,1.3822431813867433,0.1932720603799658,0,0
2023-03-17,155.0,1.7128377416308638,1.4483620934355674,0.26447564819529634,0,0
2023-03-20,157.4,1.9815381325556984,1.5549973012595937,0.42654083129610476,0,0
2023-03-27,158.28,2.7501704456731204,2.2745701178618205,0.4756003278112999,0,0
2023-03-28,157.65,2.6488471607532063,2.349425526440098,0.2994216343131084,0,0
2023-03-29,160.77,2.773382197426457,2.4342168606373695,0.33916533678908767,0,0
2023-03-30,162.36,2.959347320289737,2.539242952567843,0.4201043677218941,0,0
2023-04-05,163.76,3.6512514386982673,3.154165726417026,0.4970857122812413,0,0
2023-04-06,164.66,3.629177471719373,3.2491680754774954,0.3800093962418778,0,0
2023-04-10,162.03,3.373743568625372,3.2740831741070706,0.09966039451830122,0,0
2023-04-11,160.8,3.0427040471707016,3.227807348719797,-0.18510330154909527,0,0
2023-04-12,160.1,2.6956938028962725,3.121384639555092,-0.42569083665881946,1,0
2023-04-13,165.56,2.802030443052928,3.057513800254659,-0.2554833572017312,1,0
2023-04-14,165.21,2.827864783891755,3.011583996982078,-0.18371921309032313,0,0
2023-04-17,165.23,2.8178635555574942,2.9728399086971615,-0.1549763531396673,0,0
2023-04-18,166.47,2.8712991247796538,2.95253175191366,-0.08123262713400603,-1,0
2023-04-19,167.63,2.968010725926831,2.9556275467162942,0.012383179210536888,-1,0
2023-04-20,166.65,2.93716010166213,2.9519340577054614,-0.014773956043331538,0,0
2023-04-21,165.02,2.7576107471902844,2.913069395602426,-0.15545864841214163,0,0
2023-04-24,165.33,2.6086669463309136,2.8521889057481236,-0.24352195941721,0,0
2023-04-25,163.77,2.3452123797590048,2.7507936005503,-0.4055812207912952,1,0
2023-04-27,168.41,2.251740984261687,2.5486061152076567,-0.29686513094596956,0,0
2023-04-28,169.68,2.432365568877259,2.525358005941577,-0.09299243706431826,0,0
2023-05-01,169.59,2.5402675358813553,2.5283399119295327,0.011927623951822675,-1,0
2023-05-02,168.54,2.5177774476596824,2.5262274190755627,-0.00844997141588033,-1,0
2023-05-03,167.45,2.390019619509218,2.4989858591622935,-0.10896623965307572,1,0
2023-05-04,165.79,2.138182306406435,2.4268251486111216,-0.2886428422046867,1,0
2023-05-05,173.57,2.499620668032321,2.4413842524953617,0.05823641553695946,0,0
2023-05-08,173.5,2.750430847345285,2.5031935714653466,0.2472372758799386,0,0
2023-05-09,171.77,2.7869380037974736,2.559942457931772,0.2269955458657016,0,0
2023-05-10,173.555,2.9181637030152956,2.6315867069484766,0.28657699606681897,0,0
2023-05-11,173.75,3.0031355673663995,2.705896479032061,0.2972390883343383,0,0
2023-05-12,172.57,2.947659420579555,2.75424906734156,0.19341035323799494,0,0
2023-05-15,172.07,2.83338013168688,2.770075280210624,0.0633048514762562,0,0
2023-05-16,172.07,2.7116525143135277,2.7583907270312045,-0.04673821271767675,0,0
2023-05-17,172.69,2.631938084367704,2.733100198498504,-0.10116211413080034,0,0
2023-05-18,175.05,2.7166533103736583,2.729810820873535,-0.013157510499876679,0,0
2023-05-19,175.16,2.760948307079161,2.73603831811466,0.02490998896450103,0,0
2023-05-22,174.2,2.692714579784223,2.727373570448573,-0.034658990664349965,0,0
2023-05-23,171.56,2.4107727726760118,2.6640534108940606,-0.2532806382180488,1,0
2023-05-24,171.84,2.1829748331445558,2.5678376953441595,-0.38486286219960375,1,0
2023-05-25,172.99,2.065560236315065,2.4673822035383406,-0.4018219672232757,0,0
2023-05-26,175.43,2.1330054568993546,2.400506854210543,-0.2675013973111886,0,0
2023-05-30,177.3,2.30228795019363,2.3808630734071605,-0.07857512321353033,0,0
2023-05-31,177.25,2.4057355711065895,2.3858375729470462,0.019897998159543295,0,0
2023-06-01,180.09,2.6730067378744593,2.4432714059325287,0.22973533194193063,0,0
2023-06-02,180.95,2.9175773669445846,2.53813259813494,0.37944476880964473,0,0
2023-06-05,179.58,2.9742982786728476,2.6253657342425214,0.3489325444303262,-1,0
2023-06-06,179.21,2.9576842398841166,2.6918294353708405,0.26585480451327603,-1,0
2023-06-07,177.82,2.8070975041877944,2.7148830491342313,0.09221445505356307,1,0
2023-06-08,180.57,2.8633688363244687,2.744580206572279,0.11878862975218984,1,0
2023-06-09,180.96,2.904649271808239,2.7765940196194707,0.12805525218876834,0,0
2023-06-12,183.79,3.1166787098995314,2.8446109576754828,0.27206775222404866,0,0
2023-06-13,183.31,3.2123242201124356,2.9181536101628733,0.29417060994956223,0,0
2023-06-14,183.95,3.299386855041064,2.9944002591385113,0.3049865959025526,0,0
2023-06-15,186.01,3.4852217496344906,3.092564557237707,0.39265719239678365,-1,0
2023-06-16,184.92,3.5103756908251853,3.1761267839552025,0.33424890686998276,-1,0
2023-06-20,185.01,3.4974112505645962,3.240383677277081,0.25702757328751513,0,0
2023-06-21,183.96,3.369122082840846,3.266131358389834,0.1029907244510122,1,0
2023-06-22,187.0,3.458352101286067,3.3045755069690808,0.15377659431698643,1,0
2023-06-23,186.68,3.465602742149173,3.336780954005099,0.12882178814407386,0,0
2023-06-26,185.27,3.3265655276786106,3.3347378687398015,-0.008172341061190913,0,0
2023-06-27,188.06,3.389073655614766,3.3456050261147943,0.043468629499971545,0,0
2023-06-28,189.25,3.489343592578905,3.3743527394076165,0.11499085317128843,0,0
2023-06-29,189.59,3.5544257151004217,3.4103673345461774,0.14405838055424436,0,0
2023-06-30,193.97,3.894109244638088,3.5071157165645594,0.3869935280735284,0,0
2023-07-03,192.46,4.004126690734921,3.606517911398632,0.39760877933628924,-1,0
2023-07-05,191.33,3.9608314824577917,3.6773806256104637,0.28345085684732796,0,0
2023-07-06,191.81,3.918231270772253,3.7255507546428217,0.19268051612943138,0,0
2023-07-07,190.68,3.7559067525382943,3.7316219542219162,0.024284798316378087,0,0
2023-07-10,188.61,3.4307751491107865,3.67145259319969,-0.24067744408890368,0,0
2023-07-11,188.08,3.0967942054884077,3.556520915657434,-0.4597267101690261,1,0
2023-07-13,190.54,2.816745693847338,3.3077005653907943,-0.4909548715434564,0,0
2023-07-14,190.69,2.7103174539402914,3.188223943100694,-0.47790648916040235,0,0
2023-07-17,193.99,2.8436471789565303,3.119308590271861,-0.2756614113153306,0,0
2023-07-18,193.73,2.896986644487299,3.0748442011149484,-0.17785755662764924,0,0
2023-07-19,195.1,3.00908369951037,3.0616921007940325,-0.05260840128366251,0,0
2023-07-20,193.13,2.9156178174027616,3.0324772441157783,-0.11685942671301675,-1,0
2023-07-21,191.94,2.720079567149895,2.9699977087226017,-0.24991814157270653,-1,0
2023-07-24,192.75,2.5964867227581294,2.8952955115297074,-0.298808788771578,0,0
2023-07-25,193.62,2.5353513732240742,2.823306683868581,-0.28795531064450675,0,0
2023-07-26,194.5,2.5247610017041495,2.763597547435695,-0.23883654573154534,0,0
2023-07-27,193.22,2.3920307608274527,2.6892841901140465,-0.2972534292865938,0,0
2023-07-28,195.83,2.45651126287882,2.642729604667001,-0.18621834178818109,0,0
2023-07-31,196.45,2.5260733059093354,2.619398344915468,-0.09332503900613265,0,0
2023-08-01,195.605,2.4889731375505733,2.593313303442489,-0.10434016589191586,0,0
2023-08-02,192.58,2.2049271823810557,2.5156360792302026,-0.31070889684914693,0,0
2023-08-23,181.12,-3.1363652128692934,-2.8987366649617243,-0.23762854790756904,0,0
2023-08-24,176.38,-3.108724582363834,-2.9407342484421464,-0.16799033392168772,0,0
2023-08-25,178.61,-2.884768985077301,-2.9295411957691773,0.044772210691876424,0,0
2023-08-28,180.19,-2.5577302456286475,-2.8551790057410713,0.2974487601124238,0,0
2023-09-08,178.18,-0.4844848209161796,-0.6899857468804796,0.20550092596430003,0,0
2023-09-11,179.36,-0.6634138257781217,-0.684671362660008,0.021257536881886363,0,0
2023-09-12,176.3,-1.0261333503108006,-0.7529637601901665,-0.273169590120634,0,0
2023-09-18,177.97,-1.7762818240366869,-1.3238286853994803,-0.4524531386372066,0,0
2023-09-19,179.07,-1.6057887960703283,-1.38022070753365,-0.22556808853667842,-1,0
2023-09-20,175.49,-1.7221735288759987,-1.4486112718021196,-0.27356225707387916,-1,0
2023-09-21,173.93,-1.9113065728446088,-1.5411503320106175,-0.37015624083399135,0,0
2023-09-22,174.79,-1.9740102297204203,-1.627722311552578,-0.3462879181678422,0,0
2023-09-25,176.08,-1.9043533648546713,-1.6830485222129967,-0.2213048426416746,0,0
2023-09-26,171.96,-2.137161679499343,-1.773871153670266,-0.36329052582907684,0,0
2023-09-29,171.21,-2.6440831560153697,-2.1583603515749106,-0.4857228044404591,0,0
2023-10-02,173.75,-2.4745927352604156,-2.2216068283120114,-0.25298590694840417,0,0
2023-10-03,172.4,-2.414741723670147,-2.2602338073836385,-0.15450791628650862,0,0
2023-10-04,173.66,-2.246018021416006,-2.257390650190112,0.01137262877410583,0,0
2023-10-05,174.91,-1.9943413077777734,-2.2047807817076444,0.21043947392987095,0,0
2023-10-06,177.49,-1.5805241519672109,-2.0799294557595576,0.4994053037923467,0,0
2023-10-18,175.84,0.024665574099657306,-0.40869513361844206,0.43336070771809937,0,0
2023-10-19,175.46,-0.1054803229511947,-0.34805217148499257,0.24257184853379787,0,0
2023-10-20,172.88,-0.4001208808742547,-0.358465913362845,-0.04165496751140968,0,0
2023-10-23,173.0,-0.6182806596314094,-0.41042886261655787,-0.20785179701485157,0,0
2023-10-24,173.44,-0.7498531282583656,-0.47831371574491943,-0.27153941251344615,0,0
2023-10-25,171.1,-1.0203661340234191,-0.5867241994006194,-0.43364193462279976,0,0
2023-11-01,173.97,-1.5881780569116586,-1.361266134144562,-0.2269119227670966,0,0
2023-11-02,177.57,-1.0849759802806602,-1.3060081033717816,0.2210321230911214,0,0
2023-11-03,176.65,-0.7461273677513702,-1.1940319562476993,0.4479045884963291,0,0
2023-11-28,190.4,3.7136870748585693,3.3566786251831755,0.3570084496753938,0,0
2023-11-29,189.37,3.5314942387905717,3.3916417479046546,0.1398524908859171,0,0
2023-11-30,189.95,3.392015811245699,3.3917165605728634,0.00029925067283542717,0,0
2023-12-01,191.24,3.3409407197120515,3.381561392400701,-0.04062067268864933,0,0
2023-12-04,189.43,3.127447345896968,3.3307385830999543,-0.20329123720298625,1,0
2023-12-05,193.42,3.2236543980935153,3.3093217460986666,-0.0856673480051513,1,0
2023-12-06,192.32,3.1805310809044727,3.283563613059828,-0.10303253215535513,0,0
2023-12-07,194.27,3.2570943981044422,3.278269770068751,-0.02117537196430863,0,0
2023-12-08,195.71,3.388649994274232,3.3003458149098472,0.08830417936438462,0,0
2023-12-11,193.18,3.2642132693271435,3.2931193057933066,-0.028906036466163076,0,0
2023-12-12,194.71,3.2444024950575567,3.2833759436461567,-0.03897344858859997,0,0
2023-12-13,197.96,3.436076745718708,3.313916104060667,0.12216064165804097,-1,0
2023-12-14,198.11,3.559374761911698,3.3630078356308735,0.19636692628082475,-1,0
2023-12-15,197.57,3.5757748610719204,3.405561240719083,0.1702136203528375,0,0
2023-12-18,195.89,3.4224419718495938,3.408937386945185,0.013504584904408645,0,0
2023-12-19,196.94,3.3421315155152342,3.395576212659195,-0.05344469714396061,0,0
2023-12-20,194.83,3.08313843967278,3.3330886580619117,-0.24995021838913178,0,0
2023-12-21,194.68,2.8335698263453537,3.2331848917186,-0.3996150653732462,0,0
2024-01-18,188.63,-1.4925073069310884,-1.2108762876032801,-0.2816310193278082,0,0
2024-01-19,191.56,-0.9892842861276563,-1.1665578873081555,0.17727360118049917,0,0
2024-01-30,188.04,0.5922412002195472,0.24358832917649093,0.34865287104305626,0,0
2024-01-31,184.4,0.085175212815642,0.21190570590432115,-0.12673049308867915,0,0
